Pica pica La Casa (bombón de pollo, esperlán de pescado, frituras de malanga, croquetas de jamón, cebiche y pulpo);110
Ensalada verde templada con tostadas de queso, tomate, cebolla y jamón;550
Pastel de berenjena a los tres toques con pimientos, cebolla, tomate con yogurt y queso gratinado;810
Crepes de espinacas con farsa de atún, pisto de vegetales con salsa de champiñones y remolacha;1100
Crepes de espinacas rellenos de pollo a la jardinera;1130
Lasaña de conejo con berenjena, aguacate, pimiento y salsa parmentier;450
Piquillo pimiento relleno con farsa de atún;820
Canelones de jamón;200
Canelones de espinacas;650
Lasaña a la boloñesa;870
Tostones rellenos (atún, jamón y queso);240
Pulpo al ajillo;1040
Pulpo encebollado;1040
Pulpo al pesto;390
Pulpo a la gallega;970
Camarones al ajillo;430
Almejas marinadas;980
Carpaccio de pescado;670
Carpaccio de salmón ahumado;930
Carpaccio de filete (queso parmesano y alcaparras);660
Cebiche de pescado estilo peruano;350
Rollito de pescado con guacamole, escalibada de tomate, cebolla y albahaca;220
Coctel de pescado en copas de Dry Martin con Aires del mar;1230
Ensalada de pulpo con vinagreta de tomate, cebolla y albahaca;510
Rollitos de salmón rellenos con salsa agria (queso crema, ajo y pasas);310
Tabla de jamón y queso;1230
Ensalada catalana (atún, huevo, espárragos y aceitunas);340
Escabeche de langosta y frutos secos;980
Coctel de langosta;120
Cebiche de langosta;80
Aspic (gelatina de mariscos);580
Coctel de camarones;880
Sopa de pollo;970
Sopa de cebolla con tostadas de pan y queso gratinado;270
Sopa de pescado;120
Cremas (jamón y queso o Aurora);140
Crema de calabaza con crudite de queso;140
Crema de espinacas;1010
Crema de champiñones;70
Crema de espárragos;690
Crema de pollo de la reina;460
Consomé de mariscos;1180
Pasta Carbonara;720
Pasta Salsa pesto;630
Pasta Frutos del mar;450
Pasta Cuatro quesos;890
Pasta Al salmón con aroma de Vodka;990
Filete de pescado grillé con pisto de vegetales;190
Pescado al olivo grillado en aceitunas verdes, tomate natural y cebolla;150
Pescado al pesto (albahaca, aceite de oliva, pignon y queso parmesano);1230
Filete de pescado Saute Meunière;1020
Filete de pescado son salsa de naranja;440
Filete de pescado al limón;440
Pescado canciller con chis de mar;1020
Pescado rebozado al perfume con hierbas provenzales;620
Filete de pescado al gratén escalibado con fondue de queso;380
Pescado al ajillo;410
Pescado al aroma del trópico (hierba buena, albahaca y jugo de frutas);1030
Pescado Thai (hojuelas de coco y leche de coco);810
Camarones enchilados;970
Camarones rebozados con malanga o maíz;800
Camarones al ajillo;510
Langosta grillé;340
Langosta al jengibre;1070
Langosta americana;170
Langosta termidor;500
Cazuela de mariscos (curry y leche de coco);70
Pollo al curry sobre zócalo de cebolla confitada y pastas;950
Pollo grillé;400
Pollo concace;480
Pollo gordon blue;1200
Pollo al ajillo;540
Brocheta de pollo con salsa de champiñón;350
Pierna de cerdo asada en su jugo;760
Chuleta de cerdo grillé;500
Chuleta de cerdo grillé con salsa de limón;530
Chuleta de cerdo grillé con salsa hawaiana;1070
Lomo de cerdo ahumado;410
Conejo estofado (vino tinto  y zanahoria);750
Conejo con salsa de champiñón;840
Conejo a la mostaza;80
Conejo con frutos secos y miel;560
Preludio de cordero al romero con salsa de champiñón;1140
Ropa vieja;220
Paella a la valenciana;400
Paella frutos de mar;680
Paella mixta;350
Paella a la opción del cliente;950
Tarta helada (chocolate y almendra);180
Pie de limón con almendras;610
Soufflé de chocolate;970
Flan de caramelo;270
Coco glasé;750
Piña glasé;130
Copa de helado;500
Café Express;390
Café cortadito;480
Capuccino;640
Café descafeinado;1140
Café irlandés;670
Café rocío de gallo;780
Cerveza nacional;350
Cerveza importada;1070
Refrescos nacionales;230
Refrescos importado;300
Malta;1090
Agua mineral;410
Vermouth;300
Campari;410
Ginebra;980
Vodka;1140
Brandy;990
Whisky 8 años;820
Whisky 12 años;100
;70630
